MiFish_U_raw,MiFish_U_denoisedF,MiFish_U_denoisedR,MiFish_U_merged,MiFish_U_nonchim,MiFish_E_raw,MiFish_E_denoisedF,MiFish_E_denoisedR,MiFish_E_merged,MiFish_E_nonchim
112045.00,109576,109626,108266,107926,35213,33433,33386,32884,32505
94686.00,92641,92669,91292,90764,40433,38275,38256,37925,37834
78894.00,77153,77149,74977,74976,24005,22515,22481,22103,22102
41727.00,39167,39181,38940,38901,47976,39723,39734,39470,39470
170831.00,159262,159232,157516,157335,42766,35793,35871,35529,35529
220717.00,211763,212081,207058,206121,48629,42602,42584,41789,41699
184132.00,166379,166398,162486,161131,59824,50857,50865,50457,50457
115544.00,104275,104220,101342,100654,70123,59064,58979,57077,56974
131546.00,115648,115422,110275,109885,87121,72262,72350,71236,71149
111966.00,109309,109238,108588,108297,22679,21121,21139,20954,20954
113982.00,111320,111440,110494,110143,32078,30264,30197,29886,29533
122235.00,120072,120188,118908,117757,70001,66282,66232,65806,65243
60016.00,58951,58939,58614,57226,63266,59705,59675,58877,56326
76739.00,75169,75169,75024,74641,95711,90374,90344,89926,89787
115077.00,112627,112710,111831,110704,46228,43329,43363,42924,42815
346731.00,340755,341343,338235,338172,41922,39433,39417,38345,37544
108941.00,106827,106827,105920,104377,36849,34924,34904,34591,34352
123383.00,120868,120957,120235,118258,40885,38424,38329,37613,37428
75913.00,74552,74562,74234,73442,65093,61892,61864,61462,61153
106050.00,104037,103871,103123,102209,39838,37618,37550,37166,36991
165503.00,162587,162553,161641,161032,67284,63595,63539,62979,62979
110145.00,108288,108560,107663,107614,48074,45516,45490,44871,44870
115869.00,113738,114095,112912,112361,46586,43781,43833,42982,42263
85708.00,83798,83772,82727,82680,59551,55998,56005,55495,55495
98817.00,96229,96245,94667,94665,56288,52849,52754,51489,50638
70447.00,68737,68630,66987,66816,26880,25323,25314,24322,24268
87793.00,85938,85941,85156,84598,65675,61084,61059,60225,60042
104846.00,102321,102301,101222,99688,75765,70594,70382,67144,66623
98337.00,96661,96648,95279,94774,58348,55310,55235,53865,53865
108613.00,106521,106400,105299,103420,94478,89013,89154,88155,87244
233442.00,229607,229394,227668,224954,33095,31265,31337,30943,30687
146836.00,143393,143361,140346,139628,23545,22236,22233,22034,22034
262180.00,258329,258588,257046,254205,54726,52124,52109,52053,51834
194244.00,190896,190825,190341,189818,43926,41573,41524,41324,41253
155932.00,152311,152449,150085,149098,45379,42503,42484,42144,41732
47070.00,46216,46200,45963,45449,54027,51025,50975,50483,50304
122667.00,120770,120683,120428,120322,45955,43464,43454,43019,43019
95810.00,93792,93781,93546,93498,54207,51317,51311,51037,51037
98102.00,95767,95711,95433,95077,69063,64391,64391,63838,63668
115721.00,113357,113251,112669,112112,17817,16644,16650,16388,16345
195639.00,191454,192075,190368,187692,40753,38288,38237,37815,37430
126489.00,123671,123556,121960,121607,23251,21970,21933,21641,21641
120288.00,117837,117644,116309,116221,32015,29929,29948,29663,29538
128940.00,126232,126275,124861,123357,52273,49441,49408,49003,48937
117684.00,115628,115629,113534,113339,42131,39384,39404,37335,37335
131046.00,124150,124171,122590,121255,24398,21652,21559,21329,21287
111677.00,108505,108323,106937,106103,76154,71532,71404,69350,69133
117806.00,115665,115639,114095,113194,37323,35162,35108,34406,34088
98023.00,96111,96314,94729,93288,44853,42382,42251,41741,41328
262093.00,256712,256433,253339,253137,96480,91189,91253,90456,90323
154144.00,151470,151549,149081,148464,63990,60366,60331,59311,59191
204119.00,199488,199651,197859,197730,31429,29333,29266,29049,29034
259837.00,253918,253866,251900,251314,95283,89707,89570,89041,88825
149731.00,146565,146655,145529,144789,30951,29209,29194,29039,28933
112488.00,110418,110145,109033,108796,66020,62352,62302,61544,61535
185510.00,182406,182376,180557,180210,77645,73487,73447,72589,71761
64527.00,63255,63107,62876,62290,82977,78242,78159,77107,77091
101582.00,99666,99650,98851,97335,73551,69557,69530,69103,67296
69934.00,68621,68464,67799,65346,61508,57622,57644,55611,54294
109107.00,106895,106849,105865,104340,90660,85659,85647,85165,84117
102283.00,100415,100421,98084,97855,68773,64798,64831,62062,62044
80094.00,78223,78216,76983,76974,59071,55409,55309,53222,53193
125400.00,122317,122296,120933,119887,29418,27506,27483,27025,27025
132956.00,130571,130485,121734,121217,58869,55613,55374,54053,53894
125458.00,122882,122919,121622,120118,63588,60111,60102,59209,59084
97169.00,95085,95106,94158,93548,31258,29323,29370,29092,29092
,,,,,,,,,
128988.80,,,,123244.45,53120.17,,,,48446.88
55891.37199,,,,54046.9826,20338.53643,,,,18638.92339